,,,
1,Advanced Medical Centre G8 Markaz Islamabad,33.6983423136477,73.0489662569921
2,Islamabad International Hospital & Research Center,33.7253483637743,72.970366787665
3,"OPD, The Children Hospital, PIMS, Islamabad",33.7264905342376,73.0555108207652
4,Islamabad Medical and Surgical Hospital,33.7390534041325,73.0802300574316
5,Max Health Hospital,33.71278348769,73.0486443661356
6,KRL Hospital,33.6956466021933,73.0349114568766
7,Chinar International Hospital,33.5834193452075,73.1482079743438
8,Zobia Hospital,33.7002167726085,73.0266717113211
9,MedCity International Hospital & Plastic Surgery,33.7356273493061,73.0404046205802
10,Kulsum International Hospital,33.7379114010594,73.0706170209502
